Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.114267216289095,-0.283995565633609,0.418841558829499,0,0,0,0.0443380674955201,2.47610542503408E-05,-7.37903869562366E-07,-4.2010108745319E-07,4.55860304537552E-05,8.23627837309425E-06,2.82535428698047E-05,0,0,0,0,0,0,package://Assem3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/base_link.STL,,Part3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,6.53673087033235E-05,0.00250200481694549,0.00957549358005047,0,0,0,0.0134089098796153,1.88481379335116E-06,1.96761178532424E-09,6.21035254979903E-11,1.08111559493938E-06,-5.74155093962394E-09,1.59259136341131E-06,0,0,0,0,0,0,package://Assem3/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_1.STL,,Dynamixel_XL_320_1-3;Dynamixel_XL_320_2-3,Origin_j1,Axis_j1,j1,fixed,-0.0996674633817171,-0.425954017632799,-0.28265638337387,-0.120428320228677,0.363056391223143,-1.99282412633333,base_link,0,0,0,,,,,,,,,,,,
Link_2,-0.000717799918891593,0.0176239675175966,-1.63990428760918E-05,0,0,0,0.00317309646256028,3.05421956369053E-07,2.23820929079064E-08,-8.04167096967374E-11,5.85115905441417E-07,5.04531842445188E-10,6.7286896243679E-07,0,0,0,0,0,0,package://Assem3/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_2.STL,,Part2-1,Origin_j2,Axis_j2,j2,continuous,0,0.00900000000007965,0.0140840111554042,1.5707963267949,0,-0.806549251165967,Link_1,0,1,0,,,,,,,,,,,,
Link_3,6.53673084709538E-05,-0.00649799518314076,-0.000924506420035387,0,0,0,0.0134089098796153,1.88481379335115E-06,1.96761178776277E-09,6.21035255163868E-11,1.08111559493939E-06,-5.74155093962368E-09,1.59259136341131E-06,0,0,0,0,0,0,package://Assem3/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_3.STL,,Dynamixel_XL-320-1/Dynamixel_XL_320_1-1;Dynamixel_XL_320_2-6,Origin_j3,Axis_j3,j3,continuous,0,0.0274835289074877,-5.17952220170925E-05,-1.57079632679485,-0.796048731037786,-1.57079632679488,Link_2,0,0,1,,,,,,,,,,,,
Link_4,-1.2521254080966E-05,0.0384758320993447,-0.0194046215866645,0,0,0,0.00267682688700826,1.84208978467806E-07,-8.70543377439057E-12,1.01848920288302E-12,9.21692370673706E-08,1.2209144849617E-08,2.70821050277172E-07,0,0,0,0,0,0,package://Assem3/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_4.STL,,Part1-2;Part5-1,Origin_j4,Axis_j4,j4,continuous,0,0,0.0152185326474379,0,0,-3.14159265358676,Link_3,0,0,1,,,,,,,,,,,,
Link_5,6.5367E-05,-0.006498,-0.018643,0,0,0,0.013409,1.8848E-06,1.9676E-09,6.2104E-11,1.0811E-06,-5.7416E-09,1.5926E-06,0,0,0,0,0,0,package://Assem3/meshes/Link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_5.STL,,Dynamixel_XL_320_1-4;Dynamixel_XL_320_2-4,Origin_j5,Axis_j5,j5,continuous,0,0.0481699999999921,0,0,0,2.96005973279091,Link_4,0,0,1,,,,,,,,,,,,
Link_6,-1.1213E-14,-0.0092571,-0.01,0,0,0,0.0017904,7.6257E-08,-9.0576E-23,1.4724E-22,2.3929E-07,-8.2718E-23,1.8339E-07,0,0,0,0,0,0,package://Assem3/meshes/Link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_6.STL,,Part6-1,Origin_j6,Axis_j6,j6,fixed,-0.0100000000000007,-0.0191479139782415,-0.01921853264747,-2.7445566167947,-1.57079631189374,2.76668621793986,Link_5,0,0,0,,,,,,,,,,,,
Link_7,6.5367E-05,-0.006498,-0.0091277,0,0,0,0.013409,1.8848E-06,1.9676E-09,6.2104E-11,1.0811E-06,-5.7416E-09,1.5926E-06,0,0,0,0,0,0,package://Assem3/meshes/Link_7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_7.STL,,Dynamixel_XL_320_1-2;Dynamixel_XL_320_2-2,Origin_j7,Axis_j7,j7,continuous,0,-0.0171488807013023,-0.00999999999999573,1.57079632679489,1.25060905622965,3.14159265358978,Link_6,0,0,1,,,,,,,,,,,,
Link_8,-1.25212540913466E-05,0.00389083209933203,-0.0156130168697072,0,0,0,0.00267682688700828,1.84208978467807E-07,-8.70543376708068E-12,1.01848920199297E-12,9.21692370673711E-08,1.22091448496175E-08,2.70821050277173E-07,0,0,0,0,0,0,package://Assem3/meshes/Link_8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_8.STL,,Part1-3;Part5-2,Origin_j8,Axis_j8,j8,fixed,-0.013,-0.0285849999999988,-0.00970320532043092,-1.50305467849397,1.57079630572147,1.6385877907605,Link_7,0,0,0,,,,,,,,,,,,
Link_9,6.5367E-05,-0.006498,-0.015425,0,0,0,0.013409,1.8848E-06,1.9676E-09,6.2104E-11,1.0811E-06,-5.7416E-09,1.5926E-06,0,0,0,0,0,0,package://Assem3/meshes/Link_9.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_9.STL,,Dynamixel_XL_320_1-1;Dynamixel_XL_320_2-1,Origin_j9,Axis_j9,j9,continuous,0,0.0135849999999879,0,0,0,-3.02465614480491,Link_8,0,0,1,,,,,,,,,,,,
Link_10,7.9818E-06,0.003901,0.011564,0,0,0,0.0026768,1.8421E-07,-8.7054E-12,1.0185E-12,9.2169E-08,1.2209E-08,2.7082E-07,0,0,0,0,0,0,package://Assem3/meshes/Link_10.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_10.STL,,Part5-3;Part1-1,Origin_j10,Axis_j10,j10,fixed,2.0503069383393E-05,-0.0345748135223987,-0.0302499999999999,0,0,-3.14159265358979,Link_9,0,0,0,,,,,,,,,,,,
Link_11,6.5367E-05,-0.006498,0.012325,0,0,0,0.013409,1.8848E-06,1.9676E-09,6.2104E-11,1.0811E-06,-5.7416E-09,1.5926E-06,0,0,0,0,0,0,package://Assem3/meshes/Link_11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_11.STL,,Dynamixel_XL-320-2/Dynamixel_XL_320_1-1;Dynamixel_XL_320_2-5,Origin_j11,Axis_j11,j11,continuous,2.05030694599706E-05,0.0135951864775987,0,0,0,-3.0908723844646,Link_10,0,0,1,,,,,,,,,,,,
Link_12,0.0191760696487054,2.70061750740069E-14,-0.0335233420109425,0,0,0,0.00607002060549479,3.43285197810647E-07,3.30872245021211E-23,3.47415857272272E-22,5.25737564834968E-07,1.64608941898053E-22,5.90569526462855E-07,0,0,0,0,0,0,package://Assem3/meshes/Link_12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem3/meshes/Link_12.STL,,Part4-1,Origin_j12,Axis_j12,j12,continuous,0,0,-0.0074261,-2.6687,-1.5708,1.0691,Link_11,1,0,0,,,,,,,,,,,,
